연번,호선,보관함명,상세위치
308,8,석촌A,"석촌역 B1층 7, 8번 출구 방면 (편의점(7-ELEVEN) 주변)"
309,8,송파,송파역 B1층 화장실 주변
310,8,가락시장B,가락시장역 B1층 아기사랑방 주변 (1번 출구)
311,8,문정,"문정역 B1층 3, 4번 출구 방면"
312,8,장지,장지역 B1층 3번 출구 방면 (화장실 주변)
313,8,복정,"복정역 B1층 1, 2번 출구 방면"
314,8,산성,산성역 B1층 대합실앞 내 (현금인출기 주변)
315,8,남한산성입구,"남한산성입구역 B1층 1, 2번 출구 방면"
316,8,단대오거리,"단대오거리역 B1층 1, 2번 출구 방면"
317,8,신흥,신흥역 B1층 대합실
318,8,수진,수진역 B1층 화장실 주변
319,8,모란,모란역 B1층 10번 출구 방면 (편의점(7-ELEVEN) 주변)
320,9,삼전,"1,4번 출입구 주변"
321,9,석촌고분,1번 출입구 방향
322,9,석촌B,"5,6번 출입구 방향"
323,9,송파나루,지하1층  상가 맞은편
324,9,한성백제,2번 출입구 방향 복도
325,9,올림픽공원51~92,3번 출입구 상가 주변
326,9,둔촌오륜,"1,2번 출입구 복도"
327,9,중앙보훈병원,3번 출입구 주변
328,식물원,식물원A,방문자센터 내부
329,식물원,식물원B,온실관 1층 매표소 옆 엘리베이터
330,식물원,식물원C,온실관 1층 매표소 옆 엘리베이터
331,식물원,식물원E,온실관 2층 내부
332,식물원,식물원F,온실관 2층 내부
